2026-04-07T05:14:07.398Z DEBUG 1 --- [demo] [nio-8000-exec-7] o.s.web.servlet.DispatcherServlet        : OPTIONS "/api/v1/jurisdiction-areas/", parameters={}
2026-04-07T05:14:07.398Z DEBUG 1 --- [demo] [nio-8000-exec-7] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.JurisdictionAreaController#getAllJurisdictionAreas()
2026-04-07T05:14:07.398Z DEBUG 1 --- [demo] [nio-8000-exec-7] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2026-04-07T05:14:07.403Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/jurisdiction-areas/", parameters={}
2026-04-07T05:14:07.403Z DEBUG 1 --- [demo] [nio-8000-exec-6] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.JurisdictionAreaController#getAllJurisdictionAreas()
2026-04-07T05:14:07.403Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.a.i.r.JurisdictionAreaController : Fetching all jurisdiction areas
2026-04-08T10:43:13.408Z DEBUG 1 --- [demo] [nio-8000-exec-8] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"]
2026-04-08T10:43:13.408Z DEBUG 1 --- [demo] [nio-8000-exec-8] o.s.web.servlet.DispatcherServlet        : Completed 400 BAD_REQUEST
2026-04-08T10:47:21.492Z DEBUG 1 --- [demo] [nio-8000-exec-9] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/enforcement-agencies/", parameters={}
2026-04-08T10:47:21.492Z DEBUG 1 --- [demo] [nio-8000-exec-9] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.EnforcementAgencyController#getAllEnforcementAgencies()
2026-04-08T10:47:21.493Z  INFO 1 --- [demo] [nio-8000-exec-9] .h.m.o.a.i.r.EnforcementAgencyController : Fetching all Enforcement Agencies
2026-04-08T10:47:21.493Z  INFO 1 --- [demo] [nio-8000-exec-9] c.h.m.o.d.s.EnforcementAgencyServiceImpl : Fetching all enforcement agencies.
2026-04-08T10:47:21.517Z  INFO 1 --- [demo] [nio-8000-exec-9] c.h.m.o.d.s.EnforcementAgencyServiceImpl : Total enforcement agencies found: 24
2026-04-08T10:47:21.518Z  INFO 1 --- [demo] [nio-8000-exec-9] .h.m.o.a.i.r.EnforcementAgencyController : Fetched 24 Enforcement Agencies
2026-04-08T10:47:21.518Z DEBUG 1 --- [demo] [nio-8000-exec-9] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml]
2026-04-08T10:47:21.518Z DEBUG 1 --- [demo] [nio-8000-exec-9] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [[EnforcementAgencyResponseDto(uuid=28a62713-5b6e-42df-8661-fe4645126709, office=80da29c0-f8ad-4c09-8 (truncated)...]
2026-04-08T10:47:21.519Z DEBUG 1 --- [demo] [nio-8000-exec-9] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2026-04-08T10:47:23.567Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/posts/puc898d7-3fe6-4d20-8eda-61ab2d697d99", parameters={}
2026-04-08T10:47:23.567Z DEBUG 1 --- [demo] [nio-8000-exec-6] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getById(UUID)
2026-04-08T10:47:23.568Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.web.method.HandlerMethod             : Could not resolve parameter [0] in public org.springframework.http.ResponseEntity<com.hexa.mole.office_module.domain.shared.dto.CustomePostResponseDTO> com.hexa.mole.office_module.adapter.inbound.rest.PostsController.getById(java.util.UUID): Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"
2026-04-08T10:47:23.568Z DEBUG 1 --- [demo] [nio-8000-exec-6] .m.m.a.ExceptionHandlerExceptionResolver : Using @ExceptionHandler com.hexa.mole.office_module.domain.shared.exceptions.GlobalExceptionHandler#handleIllegalArgument(IllegalArgumentException)
2026-04-08T10:47:23.568Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml]
2026-04-08T10:47:23.568Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [com.hexa.mole.office_module.domain.shared.exceptions.ErrorDetails]
2026-04-08T10:47:23.569Z DEBUG 1 --- [demo] [nio-8000-exec-6] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"]
2026-04-08T10:47:23.569Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.web.servlet.DispatcherServlet        : Completed 400 BAD_REQUEST
2026-04-08T10:49:27.475Z DEBUG 1 --- [demo] [nio-8000-exec-3] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/posts/post-details/puc898d7-3fe6-4d20-8eda-61ab2d697d99/default", parameters={}
2026-04-08T10:49:27.475Z DEBUG 1 --- [demo] [nio-8000-exec-3] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getPostDetails(UUID, UUID)
2026-04-08T10:49:27.476Z DEBUG 1 --- [demo] [nio-8000-exec-3] o.s.web.method.HandlerMethod             : Could not resolve parameter [0] in public org.springframework.http.ResponseEntity<java.util.List<com.hexa.mole.office_module.domain.shared.dto.PostEnforcementDetailsDto>> com.hexa.mole.office_module.adapter.inbound.rest.PostsController.getPostDetails(java.util.UUID,java.util.UUID): Method parameter 'postId': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"
2026-04-08T10:49:27.476Z DEBUG 1 --- [demo] [nio-8000-exec-3] .m.m.a.ExceptionHandlerExceptionResolver : Using @ExceptionHandler com.hexa.mole.office_module.domain.shared.exceptions.GlobalExceptionHandler#handleIllegalArgument(IllegalArgumentException)
2026-04-08T10:49:27.477Z DEBUG 1 --- [demo] [nio-8000-exec-3] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml]
2026-04-08T10:49:27.477Z DEBUG 1 --- [demo] [nio-8000-exec-3] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [com.hexa.mole.office_module.domain.shared.exceptions.ErrorDetails]
2026-04-08T10:49:27.478Z DEBUG 1 --- [demo] [nio-8000-exec-3] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'postId': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"]
2026-04-08T10:49:27.478Z DEBUG 1 --- [demo] [nio-8000-exec-3] o.s.web.servlet.DispatcherServlet        : Completed 400 BAD_REQUEST
2026-04-08T10:49:28.094Z DEBUG 1 --- [demo] [nio-8000-exec-1] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/posts/puc898d7-3fe6-4d20-8eda-61ab2d697d99", parameters={}
2026-04-08T10:49:28.094Z DEBUG 1 --- [demo] [nio-8000-exec-7] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/posts/post-details/puc898d7-3fe6-4d20-8eda-61ab2d697d99/default", parameters={}
2026-04-08T10:49:28.094Z DEBUG 1 --- [demo] [nio-8000-exec-1] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getById(UUID)
2026-04-08T10:49:28.094Z DEBUG 1 --- [demo] [nio-8000-exec-7] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getPostDetails(UUID, UUID)
2026-04-08T10:49:28.095Z DEBUG 1 --- [demo] [nio-8000-exec-1] o.s.web.method.HandlerMethod             : Could not resolve parameter [0] in public org.springframework.http.ResponseEntity<com.hexa.mole.office_module.domain.shared.dto.CustomePostResponseDTO> com.hexa.mole.office_module.adapter.inbound.rest.PostsController.getById(java.util.UUID): Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"
2026-04-08T10:49:28.095Z DEBUG 1 --- [demo] [nio-8000-exec-1] .m.m.a.ExceptionHandlerExceptionResolver : Using @ExceptionHandler com.hexa.mole.office_module.domain.shared.exceptions.GlobalExceptionHandler#handleIllegalArgument(IllegalArgumentException)
2026-04-08T10:49:28.095Z DEBUG 1 --- [demo] [nio-8000-exec-1] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml]
2026-04-08T10:49:28.095Z DEBUG 1 --- [demo] [nio-8000-exec-1] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [com.hexa.mole.office_module.domain.shared.exceptions.ErrorDetails]
2026-04-08T10:49:28.095Z DEBUG 1 --- [demo] [nio-8000-exec-7] o.s.web.method.HandlerMethod             : Could not resolve parameter [0] in public org.springframework.http.ResponseEntity<java.util.List<com.hexa.mole.office_module.domain.shared.dto.PostEnforcementDetailsDto>> com.hexa.mole.office_module.adapter.inbound.rest.PostsController.getPostDetails(java.util.UUID,java.util.UUID): Method parameter 'postId': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"
2026-04-08T10:49:28.095Z DEBUG 1 --- [demo] [nio-8000-exec-7] .m.m.a.ExceptionHandlerExceptionResolver : Using @ExceptionHandler com.hexa.mole.office_module.domain.shared.exceptions.GlobalExceptionHandler#handleIllegalArgument(IllegalArgumentException)
2026-04-08T10:49:28.095Z DEBUG 1 --- [demo] [nio-8000-exec-7] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml]
2026-04-08T10:49:28.095Z DEBUG 1 --- [demo] [nio-8000-exec-7] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [com.hexa.mole.office_module.domain.shared.exceptions.ErrorDetails]
2026-04-08T10:49:28.095Z DEBUG 1 --- [demo] [nio-8000-exec-1] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"]
2026-04-08T10:49:28.095Z DEBUG 1 --- [demo] [nio-8000-exec-1] o.s.web.servlet.DispatcherServlet        : Completed 400 BAD_REQUEST
2026-04-08T10:49:28.096Z DEBUG 1 --- [demo] [nio-8000-exec-7] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'postId': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"]
2026-04-08T10:49:28.096Z DEBUG 1 --- [demo] [nio-8000-exec-7] o.s.web.servlet.DispatcherServlet        : Completed 400 BAD_REQUEST
2026-04-08T10:49:28.619Z DEBUG 1 --- [demo] [nio-8000-exec-2] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/posts/post-details/puc898d7-3fe6-4d20-8eda-61ab2d697d99/default", parameters={}
2026-04-08T10:49:28.620Z DEBUG 1 --- [demo] [nio-8000-exec-2] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getPostDetails(UUID, UUID)
2026-04-08T10:49:28.620Z DEBUG 1 --- [demo] [nio-8000-exec-2] o.s.web.method.HandlerMethod             : Could not resolve parameter [0] in public org.springframework.http.ResponseEntity<java.util.List<com.hexa.mole.office_module.domain.shared.dto.PostEnforcementDetailsDto>> com.hexa.mole.office_module.adapter.inbound.rest.PostsController.getPostDetails(java.util.UUID,java.util.UUID): Method parameter 'postId': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"
2026-04-08T10:49:28.620Z DEBUG 1 --- [demo] [nio-8000-exec-2] .m.m.a.ExceptionHandlerExceptionResolver : Using @ExceptionHandler com.hexa.mole.office_module.domain.shared.exceptions.GlobalExceptionHandler#handleIllegalArgument(IllegalArgumentException)
2026-04-08T10:49:28.621Z DEBUG 1 --- [demo] [nio-8000-exec-2] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml]
2026-04-08T10:49:28.621Z DEBUG 1 --- [demo] [nio-8000-exec-2] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [com.hexa.mole.office_module.domain.shared.exceptions.ErrorDetails]
2026-04-08T10:49:28.621Z DEBUG 1 --- [demo] [nio-8000-exec-2] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'postId': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"]
2026-04-08T10:49:28.621Z DEBUG 1 --- [demo] [nio-8000-exec-2] o.s.web.servlet.DispatcherServlet        : Completed 400 BAD_REQUEST
2026-04-08T10:49:32.658Z DEBUG 1 --- [demo] [io-8000-exec-10] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/posts/puc898d7-3fe6-4d20-8eda-61ab2d697d99", parameters={}
2026-04-08T10:49:32.658Z DEBUG 1 --- [demo] [io-8000-exec-10] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getById(UUID)
2026-04-08T10:49:32.658Z DEBUG 1 --- [demo] [io-8000-exec-10] o.s.web.method.HandlerMethod             : Could not resolve parameter [0] in public org.springframework.http.ResponseEntity<com.hexa.mole.office_module.domain.shared.dto.CustomePostResponseDTO> com.hexa.mole.office_module.adapter.inbound.rest.PostsController.getById(java.util.UUID): Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"
2026-04-08T10:49:32.658Z DEBUG 1 --- [demo] [io-8000-exec-10] .m.m.a.ExceptionHandlerExceptionResolver : Using @ExceptionHandler com.hexa.mole.office_module.domain.shared.exceptions.GlobalExceptionHandler#handleIllegalArgument(IllegalArgumentException)
2026-04-08T10:49:32.659Z DEBUG 1 --- [demo] [io-8000-exec-10] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml]
2026-04-08T10:49:32.659Z DEBUG 1 --- [demo] [io-8000-exec-10] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [com.hexa.mole.office_module.domain.shared.exceptions.ErrorDetails]
2026-04-08T10:49:32.659Z DEBUG 1 --- [demo] [io-8000-exec-10] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"]
2026-04-08T10:49:32.659Z DEBUG 1 --- [demo] [io-8000-exec-10] o.s.web.servlet.DispatcherServlet        : Completed 400 BAD_REQUEST
2026-04-08T10:51:23.935Z DEBUG 1 --- [demo] [nio-8000-exec-4] o.s.web.servlet.DispatcherServlet        : OPTIONS "/api/v1/posts/puc898d7-3fe6-4d20-8eda-61ab2d697d99", parameters={}
2026-04-08T10:51:23.936Z DEBUG 1 --- [demo] [nio-8000-exec-4] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getById(UUID)
2026-04-08T10:51:23.937Z DEBUG 1 --- [demo] [nio-8000-exec-4] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2026-04-08T10:51:23.961Z DEBUG 1 --- [demo] [nio-8000-exec-5] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/enforcement-agencies/", parameters={}
2026-04-08T10:51:23.961Z DEBUG 1 --- [demo] [nio-8000-exec-5] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.EnforcementAgencyController#getAllEnforcementAgencies()
2026-04-08T10:51:23.961Z  INFO 1 --- [demo] [nio-8000-exec-5] .h.m.o.a.i.r.EnforcementAgencyController : Fetching all Enforcement Agencies
2026-04-08T10:51:23.961Z  INFO 1 --- [demo] [nio-8000-exec-5] c.h.m.o.d.s.EnforcementAgencyServiceImpl : Fetching all enforcement agencies.
2026-04-08T10:51:23.967Z  INFO 1 --- [demo] [nio-8000-exec-5] c.h.m.o.d.s.EnforcementAgencyServiceImpl : Total enforcement agencies found: 24
2026-04-08T10:51:23.967Z  INFO 1 --- [demo] [nio-8000-exec-5] .h.m.o.a.i.r.EnforcementAgencyController : Fetched 24 Enforcement Agencies
2026-04-08T10:51:23.968Z DEBUG 1 --- [demo] [nio-8000-exec-5] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml]
2026-04-08T10:51:23.968Z DEBUG 1 --- [demo] [nio-8000-exec-5] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [[EnforcementAgencyResponseDto(uuid=28a62713-5b6e-42df-8661-fe4645126709, office=80da29c0-f8ad-4c09-8 (truncated)...]
2026-04-08T10:51:23.969Z DEBUG 1 --- [demo] [nio-8000-exec-5] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2026-04-08T10:51:25.593Z DEBUG 1 --- [demo] [nio-8000-exec-8] o.s.web.servlet.DispatcherServlet        : OPTIONS "/api/v1/posts/puc898d7-3fe6-4d20-8eda-61ab2d697d99", parameters={}
2026-04-08T10:51:25.594Z DEBUG 1 --- [demo] [nio-8000-exec-8] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getById(UUID)
2026-04-08T10:51:25.594Z DEBUG 1 --- [demo] [nio-8000-exec-8] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2026-04-08T10:51:25.601Z DEBUG 1 --- [demo] [nio-8000-exec-9] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/posts/puc898d7-3fe6-4d20-8eda-61ab2d697d99", parameters={}
2026-04-08T10:51:25.601Z DEBUG 1 --- [demo] [nio-8000-exec-9] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getById(UUID)
2026-04-08T10:51:25.601Z DEBUG 1 --- [demo] [nio-8000-exec-9] o.s.web.method.HandlerMethod             : Could not resolve parameter [0] in public org.springframework.http.ResponseEntity<com.hexa.mole.office_module.domain.shared.dto.CustomePostResponseDTO> com.hexa.mole.office_module.adapter.inbound.rest.PostsController.getById(java.util.UUID): Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"
2026-04-08T10:51:25.602Z DEBUG 1 --- [demo] [nio-8000-exec-9] .m.m.a.ExceptionHandlerExceptionResolver : Using @ExceptionHandler com.hexa.mole.office_module.domain.shared.exceptions.GlobalExceptionHandler#handleIllegalArgument(IllegalArgumentException)
2026-04-08T10:51:25.602Z DEBUG 1 --- [demo] [nio-8000-exec-9] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml]
2026-04-08T10:51:25.602Z DEBUG 1 --- [demo] [nio-8000-exec-9] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [com.hexa.mole.office_module.domain.shared.exceptions.ErrorDetails]
2026-04-08T10:51:25.602Z DEBUG 1 --- [demo] [nio-8000-exec-9] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"]
2026-04-08T10:51:25.602Z DEBUG 1 --- [demo] [nio-8000-exec-9] o.s.web.servlet.DispatcherServlet        : Completed 400 BAD_REQUEST
2026-04-08T10:51:57.714Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/posts/puc898d7-3fe6-4d20-8eda-61ab2d697d99", parameters={}
2026-04-08T10:51:57.714Z DEBUG 1 --- [demo] [nio-8000-exec-3] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/posts/post-details/puc898d7-3fe6-4d20-8eda-61ab2d697d99/default", parameters={}
2026-04-08T10:51:57.714Z DEBUG 1 --- [demo] [nio-8000-exec-6] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getById(UUID)
2026-04-08T10:51:57.714Z DEBUG 1 --- [demo] [nio-8000-exec-3] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getPostDetails(UUID, UUID)
2026-04-08T10:51:57.714Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.web.method.HandlerMethod             : Could not resolve parameter [0] in public org.springframework.http.ResponseEntity<com.hexa.mole.office_module.domain.shared.dto.CustomePostResponseDTO> com.hexa.mole.office_module.adapter.inbound.rest.PostsController.getById(java.util.UUID): Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"
2026-04-08T10:51:57.714Z DEBUG 1 --- [demo] [nio-8000-exec-3] o.s.web.method.HandlerMethod             : Could not resolve parameter [0] in public org.springframework.http.ResponseEntity<java.util.List<com.hexa.mole.office_module.domain.shared.dto.PostEnforcementDetailsDto>> com.hexa.mole.office_module.adapter.inbound.rest.PostsController.getPostDetails(java.util.UUID,java.util.UUID): Method parameter 'postId': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"
2026-04-08T10:51:57.714Z DEBUG 1 --- [demo] [nio-8000-exec-6] .m.m.a.ExceptionHandlerExceptionResolver : Using @ExceptionHandler com.hexa.mole.office_module.domain.shared.exceptions.GlobalExceptionHandler#handleIllegalArgument(IllegalArgumentException)
2026-04-08T10:51:57.715Z DEBUG 1 --- [demo] [nio-8000-exec-3] .m.m.a.ExceptionHandlerExceptionResolver : Using @ExceptionHandler com.hexa.mole.office_module.domain.shared.exceptions.GlobalExceptionHandler#handleIllegalArgument(IllegalArgumentException)
2026-04-08T10:51:57.715Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml]
2026-04-08T10:51:57.715Z DEBUG 1 --- [demo] [nio-8000-exec-3] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml]
2026-04-08T10:51:57.715Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [com.hexa.mole.office_module.domain.shared.exceptions.ErrorDetails]
2026-04-08T10:51:57.715Z DEBUG 1 --- [demo] [nio-8000-exec-3] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [com.hexa.mole.office_module.domain.shared.exceptions.ErrorDetails]
2026-04-08T10:51:57.715Z DEBUG 1 --- [demo] [nio-8000-exec-3] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'postId': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"]
2026-04-08T10:51:57.715Z DEBUG 1 --- [demo] [nio-8000-exec-6] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"]
2026-04-08T10:51:57.715Z DEBUG 1 --- [demo] [nio-8000-exec-3] o.s.web.servlet.DispatcherServlet        : Completed 400 BAD_REQUEST
2026-04-08T10:51:57.715Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.web.servlet.DispatcherServlet        : Completed 400 BAD_REQUEST
2026-04-08T10:51:59.557Z DEBUG 1 --- [demo] [nio-8000-exec-1] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/posts/post-details/puc898d7-3fe6-4d20-8eda-61ab2d697d99/default", parameters={}
2026-04-08T10:51:59.557Z DEBUG 1 --- [demo] [nio-8000-exec-1] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getPostDetails(UUID, UUID)
2026-04-08T10:51:59.558Z DEBUG 1 --- [demo] [nio-8000-exec-1] o.s.web.method.HandlerMethod             : Could not resolve parameter [0] in public org.springframework.http.ResponseEntity<java.util.List<com.hexa.mole.office_module.domain.shared.dto.PostEnforcementDetailsDto>> com.hexa.mole.office_module.adapter.inbound.rest.PostsController.getPostDetails(java.util.UUID,java.util.UUID): Method parameter 'postId': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"
2026-04-08T10:51:59.558Z DEBUG 1 --- [demo] [nio-8000-exec-1] .m.m.a.ExceptionHandlerExceptionResolver : Using @ExceptionHandler com.hexa.mole.office_module.domain.shared.exceptions.GlobalExceptionHandler#handleIllegalArgument(IllegalArgumentException)
2026-04-08T10:51:59.558Z DEBUG 1 --- [demo] [nio-8000-exec-1] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml]
2026-04-08T10:51:59.558Z DEBUG 1 --- [demo] [nio-8000-exec-1] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [com.hexa.mole.office_module.domain.shared.exceptions.ErrorDetails]
2026-04-08T10:51:59.559Z DEBUG 1 --- [demo] [nio-8000-exec-1] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'postId': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Error at index 0 in: "puc898d7"]
2026-04-08T10:51:59.559Z DEBUG 1 --- [demo] [nio-8000-exec-1] o.s.web.servlet.DispatcherServlet        : Completed 400 BAD_REQUEST
2026-04-08T10:52:02.934Z DEBUG 1 --- [demo] [nio-8000-exec-7] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/posts/puc898d7-3fe6-4d20-8eda-61ab2d697d99", parameters={}
2026-04-08T10:52:02.934Z DEBUG 1 --- [demo] [nio-8000-exec-7] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.PostsController#getById(UUID)
